year,month,State,type_of_connection,value,date,Service_provider
2009,5,Andaman And Nicobar Islands,wireless,99549208.0,01-05-2009,RELIANCE COMMUNICATIONS
2022,2,Mumbai,wireline,50460.0,01-02-2022,RELIANCE COMMUNICATIONS
2010,9,Bihar,wireline,3829.0,01-09-2010,RELIANCE COMMUNICATIONS
2019,2,Uttar Pradesh (East),wireless,40786.0,01-02-2019,BSNL
2024,1,Maharashtra,wireline,8099.0,01-01-2024,RELIANCE COMMUNICATIONS
2010,1,Karnataka,wireless,152353.0,01-01-2010,SISTEMA / MTS
2023,4,Bihar,wireless,8282431.0,01-04-2023,VODAFONE IDEA
2011,1,Rajasthan,wireless,11679.0,01-01-2011,ETISALAT
2021,3,Punjab,wireless,12739934.0,01-03-2021,JIO
2017,4,Punjab,wireline,20570.0,01-04-2017,RELIANCE COMMUNICATIONS
2025,3,North East 1,wireline,0.0,01-03-2025,OTHERS
2013,9,Karnataka,wireless,0.0,01-09-2013,HFCL / QUADRANT
2025,4,Himachal Pradesh,wireless,3230655.0,01-04-2025,JIO
2009,2,Tamil Nadu,wireless,389839.0,01-02-2009,HFCL / QUADRANT
2018,6,ALL INDIA,wireless,215255701.0,01-06-2018,JIO
2012,3,Delhi,wireline,1079056.0,01-03-2012,AIRTEL
2019,4,Himachal Pradesh,wireless,2918781.0,01-04-2019,JIO
2020,2,West Bengal,wireless,2345305.0,01-02-2020,BSNL
2018,7,Mumbai,wireless,6878876.0,01-07-2018,BSNL
2009,3,Madhya Pradesh,wireless,6166419.0,01-03-2009,RELIANCE COMMUNICATIONS
2021,4,Odisha,wireless,6391505.0,01-04-2021,BSNL
2011,12,Karnataka,wireless,0.0,01-12-2011,HFCL / QUADRANT
2010,8,Gujarat,wireless,555979.0,01-08-2010,SISTEMA / MTS
2012,4,Gujarat,wireless,730327.0,01-04-2012,AIRCEL
2010,1,Mumbai,wireless,4135913.0,01-01-2010,TATA TELE
2024,12,Haryana,wireline,450.0,01-12-2024,VODAFONE IDEA
2019,3,Gujarat,wireless,115664576.0,01-03-2019,BSNL
2015,1,Haryana,wireless,2833115.0,01-01-2015,TATA TELE
2020,6,Uttar Pradesh (West),wireless,6036679.0,01-06-2020,BSNL
2018,12,Rajasthan,wireless,5694204.0,01-12-2018,BSNL
2012,5,Rajasthan,wireless,8443.0,01-05-2012,VIDEOCON
2011,8,Kerala,wireless,2422708.0,01-08-2011,TATA TELE
2010,7,Mumbai,wireless,1164932.0,01-07-2010,AIRCEL
2018,1,Bihar,wireline,2070.0,01-01-2018,VODAFONE IDEA
2018,11,Kolkata,wireline,41346.0,01-11-2018,RELIANCE COMMUNICATIONS
2011,1,Uttar Pradesh (West),wireless,188.0,01-01-2011,LOOP TELECOM
2024,10,Uttar Pradesh (West),wireless,206894.0,01-10-2024,BSNL
2021,11,Tamil Nadu,wireless,25498244.0,01-11-2021,JIO
2016,12,North East 1,wireline,150.0,01-12-2016,VODAFONE IDEA
2021,4,Kerala,wireline,19011.0,01-04-2021,TATA TELE
2015,7,Rajasthan,wireless,7241845.0,01-07-2015,VODAFONE IDEA
2017,8,Gujarat,wireless,20178798.0,01-08-2017,VODAFONE IDEA
2017,11,Kerala,wireless,4819002.0,01-11-2017,AIRTEL
2016,4,Andhra Pradesh,wireless,52429453.0,01-04-2016,SISTEMA / MTS
2014,4,Assam,wireless,2819649.0,01-04-2014,VIDEOCON
2024,2,West Bengal,wireless,244320.0,01-02-2024,MTNL
2015,12,Rajasthan,wireless,1584001.0,01-12-2015,TATA TELE
2013,7,Maharashtra,wireless,9892587.039,01-07-2013,AIRTEL
2023,4,Kolkata,wireline,196935.0,01-04-2023,BSNL
2010,9,ALL INDIA,wireless,5311254.0,01-09-2010,MTNL
2009,9,ALL INDIA,wireless,25728633.0,01-09-2009,AIRCEL
2011,11,Punjab,wireless,572.0,01-11-2011,SISTEMA / MTS
2012,9,Madhya Pradesh,wireline,241505.0,01-09-2012,AIRTEL
2018,2,ALL INDIA,wireless,295789742.0,01-02-2018,AIRTEL
2024,1,Kerala,wireline,1089573.0,01-01-2024,BSNL
2015,2,Madhya Pradesh,wireline,22835.0,01-02-2015,RELIANCE COMMUNICATIONS
2010,9,Punjab,wireline,39692.0,01-09-2010,RELIANCE COMMUNICATIONS
2012,9,ALL INDIA,wireless,115464737.0,01-09-2012,VODAFONE IDEA
2013,12,Kerala,wireless,6615300.0,01-12-2013,VODAFONE IDEA
2024,8,Punjab,wireline,0.0,01-08-2024,OTHERS
2015,12,North East 1,wireless,485744.0,01-12-2015,VODAFONE IDEA
2015,11,Andhra Pradesh,wireline,139834.0,01-11-2015,AIRTEL
2013,8,Maharashtra,wireless,0.0,01-08-2013,MTNL
2015,1,Karnataka,wireless,1596245.0,01-01-2015,SISTEMA / MTS
2023,11,Maharashtra,wireless,43011738.0,01-11-2023,JIO
2011,6,North East 1,wireless,78721.0,01-06-2011,TATA TELE
2019,1,Delhi,wireless,15167551.0,01-01-2019,AIRTEL
2015,10,Punjab,wireless,3280055.0,01-10-2015,VIDEOCON
2017,1,Kerala,wireless,1355867.0,01-01-2017,TATA TELE
2025,2,Mumbai,wireless,210840.0,01-02-2025,MTNL
2009,8,Jammu And Kashmir,wireline,231493.0,01-08-2009,BSNL
2018,1,Odisha,wireless,1140557.0,01-01-2018,TATA TELE
2016,8,Uttar Pradesh (East),wireless,8165067.0,01-08-2016,RELIANCE COMMUNICATIONS
2024,4,Andhra Pradesh,wireless,175938.0,01-04-2024,MTNL
2014,8,Delhi,wireline,1195952.0,01-08-2014,AIRTEL
2015,10,Kerala,wireline,17385.0,01-10-2015,TATA TELE
2015,5,Assam,wireless,3225034.0,01-05-2015,VODAFONE IDEA
2018,4,Madhya Pradesh,wireless,15402447.0,01-04-2018,AIRTEL
2020,7,Assam,wireline,8567697.0,01-07-2020,JIO
2024,5,Punjab,wireline,300157.0,01-05-2024,AIRTEL
2013,4,Uttar Pradesh (East),wireless,7473608.0,01-04-2013,OTHERS
2010,8,Madhya Pradesh,wireline,33393.0,01-08-2010,RELIANCE COMMUNICATIONS
2025,1,Haryana,wireline,0.0,01-01-2025,OTHERS
2016,10,Delhi,wireline,1611391.0,01-10-2016,MTNL
2013,1,Odisha,wireless,701887.0,01-01-2013,OTHERS
2015,11,Madhya Pradesh,wireline,300.0,01-11-2015,VODAFONE IDEA
2017,2,Madhya Pradesh,wireline,420.0,01-02-2017,VODAFONE IDEA
2010,5,Jammu And Kashmir,wireless,1233247.0,01-05-2010,HFCL / QUADRANT
2023,8,Uttar Pradesh (West),wireless,8.0,01-08-2023,RELIANCE COMMUNICATIONS
2009,1,ALL INDIA,wireless,3952107.0,01-01-2009,VODAFONE IDEA
2016,7,Tamil Nadu,wireless,1277752.0,01-07-2016,MTNL
2023,11,Delhi,wireless,19707070.0,01-11-2023,JIO
2017,9,West Bengal,wireless,1293805.0,01-09-2017,MTNL
2016,11,Uttar Pradesh (East),wireless,10397726.0,01-11-2016,BSNL
2013,7,Assam,wireless,0.0,01-07-2013,TATA TELE
2020,9,Mumbai,wireless,118898175.0,01-09-2020,BSNL
2011,12,Haryana,wireless,419262.0,01-12-2011,VODAFONE IDEA
2018,11,Karnataka,wireless,2223150.0,01-11-2018,MTNL
2009,4,Kolkata,wireless,2075727.0,01-04-2009,MTNL
2010,3,Rajasthan,wireline,1959294.0,01-03-2010,MTNL
2018,1,Andhra Pradesh,wireless,4075080.0,01-01-2018,TELENOR
2020,9,Maharashtra,wireless,34017639.0,01-09-2020,VODAFONE IDEA
2011,11,Maharashtra,wireless,2763202.0,01-11-2011,MTNL
2019,9,Kerala,wireless,5468854.0,01-09-2019,AIRTEL
2012,10,Tamil Nadu,wireless,9470325.0,01-10-2012,BSNL
2023,6,Andhra Pradesh,wireless,30650087.0,01-06-2023,JIO
2023,3,Maharashtra,wireless,24401860.0,01-03-2023,VODAFONE IDEA
2017,3,Jammu And Kashmir,wireless,4911271.0,01-03-2017,HFCL / QUADRANT
2022,6,Punjab,wireline,298440.0,01-06-2022,HFCL / QUADRANT
2009,8,Madhya Pradesh,wireline,1268072.0,01-08-2009,BSNL
2025,4,North East 1,wireless,629682.0,01-04-2025,VODAFONE IDEA
2022,1,Assam,wireline,103267.0,01-01-2022,BSNL
2014,7,Himachal Pradesh,wireless,177931.0,01-07-2014,SISTEMA / MTS
2017,4,ALL INDIA,wireline,3454486.0,01-04-2017,MTNL
2012,9,Karnataka,wireless,1485942.0,01-09-2012,AIRCEL
2024,12,Odisha,wireline,127289.0,01-12-2024,BSNL
2013,7,Odisha,wireless,2035310.0,01-07-2013,TATA TELE
2018,12,Mumbai,wireline,571166.0,01-12-2018,TATA TELE
2023,3,Bihar,wireline,2110.0,01-03-2023,VODAFONE IDEA
2013,11,Mumbai,wireless,1026106.0,01-11-2013,MTNL
2016,8,Karnataka,wireless,8668824.0,01-08-2016,VODAFONE IDEA
2015,12,Uttar Pradesh (East),wireless,773356.0,01-12-2015,SISTEMA / MTS
2021,11,Tamil Nadu,wireless,9932629.0,01-11-2021,BSNL
2011,4,Kerala,wireless,5336778.0,01-04-2011,VODAFONE IDEA
2012,11,Madhya Pradesh,wireline,0.0,01-11-2012,HFCL / QUADRANT
2009,5,Rajasthan,wireless,3444233.0,01-05-2009,RELIANCE COMMUNICATIONS
2017,10,Assam,wireless,3766745.0,01-10-2017,VODAFONE IDEA
2012,6,Jammu And Kashmir,wireless,719029.0,01-06-2012,VODAFONE IDEA
2019,10,Assam,wireline,101030.0,01-10-2019,BSNL
2024,10,Haryana,wireless,92396282.0,01-10-2024,BSNL
2013,4,Tamil Nadu,wireless,9595606.0,01-04-2013,BSNL
2019,2,Kolkata,wireline,52654.0,01-02-2019,TATA TELE
2022,1,Gujarat,wireline,152788.0,01-01-2022,AIRTEL
2019,9,West Bengal,wireline,5662.0,01-09-2019,JIO
2016,2,Haryana,wireless,2737340.0,01-02-2016,TATA TELE
2009,8,North East 1,wireless,2524248.0,01-08-2009,MTNL
2024,7,Karnataka,wireless,0.0,01-07-2024,RELIANCE COMMUNICATIONS
2021,9,Rajasthan,wireless,6033689.0,01-09-2021,BSNL
2024,5,Madhya Pradesh,wireless,4659304.0,01-05-2024,BSNL
2014,11,Kerala,wireless,6604135.0,01-11-2014,TELENOR
2014,7,Jammu And Kashmir,wireless,1252632.0,01-07-2014,BSNL
2012,3,Himachal Pradesh,wireless,402283.0,01-03-2012,TATA TELE
2013,12,ALL INDIA,wireline,3354766.0,01-12-2013,AIRTEL
2023,10,Andhra Pradesh,wireless,92869283.0,01-10-2023,BSNL
2009,9,Madhya Pradesh,wireline,302587.0,01-09-2009,AIRTEL
2014,11,Mumbai,wireless,669839.0,01-11-2014,SISTEMA / MTS
2019,10,Odisha,wireless,3983604.0,01-10-2019,VODAFONE IDEA
2017,12,Tamil Nadu,wireline,555742.0,01-12-2017,AIRTEL
2024,4,Gujarat,wireline,0.0,01-04-2024,OTHERS
2009,6,Delhi,wireless,2336208.0,01-06-2009,VODAFONE IDEA
2010,2,Assam,wireless,79878.0,01-02-2010,TATA TELE
2013,7,Kerala,wireline,56296.0,01-07-2013,AIRTEL
2014,1,North East 1,wireless,6072987.0,01-01-2014,TELENOR
2014,1,Karnataka,wireless,6600203.0,01-01-2014,VODAFONE IDEA
2016,7,Kolkata,wireless,8411103.0,01-07-2016,TELENOR
2015,7,Karnataka,wireline,562539.0,01-07-2015,AIRTEL
2013,2,Himachal Pradesh,wireless,484109.0,01-02-2013,VODAFONE IDEA
2012,8,Himachal Pradesh,wireless,0.0,01-08-2012,MTNL
2012,3,Kerala,wireline,3065384.0,01-03-2012,BSNL
2013,3,Mumbai,wireless,3109952.0,01-03-2013,VODAFONE IDEA
2015,10,Delhi,wireless,21699.0,01-10-2015,VIDEOCON
2014,10,Madhya Pradesh,wireline,229487.0,01-10-2014,AIRTEL
2020,1,Karnataka,wireless,28726293.0,01-01-2020,AIRTEL
2016,2,Haryana,wireless,4617519.0,01-02-2016,VODAFONE IDEA
2013,9,Uttar Pradesh (East),wireless,10204912.0,01-09-2013,BSNL
2015,2,Assam,wireless,6284669.0,01-02-2015,TATA TELE
2020,8,Kerala,wireline,709.0,01-08-2020,RELIANCE COMMUNICATIONS
2010,10,West Bengal,wireline,1628.0,01-10-2010,RELIANCE COMMUNICATIONS
2022,9,ALL INDIA,wireline,2585186.0,01-09-2022,MTNL
2011,3,Rajasthan,wireless,16630.0,01-03-2011,ETISALAT
2015,11,Uttar Pradesh (East),wireline,15198.0,01-11-2015,TATA TELE
2014,11,Kolkata,wireless,9048254.0,01-11-2014,LOOP TELECOM
2013,3,Tamil Nadu,wireless,2308196.0,01-03-2013,VODAFONE IDEA
2015,12,Uttar Pradesh (West),wireline,450.0,01-12-2015,VODAFONE IDEA
2010,3,Madhya Pradesh,wireline,173407.0,01-03-2010,SISTEMA / MTS
2010,1,Bihar,wireline,6160.0,01-01-2010,TATA TELE
2014,3,Gujarat,wireless,9328695.0,01-03-2014,VODAFONE IDEA
2016,3,Karnataka,wireless,5893750.0,01-03-2016,RELIANCE COMMUNICATIONS
2010,11,Rajasthan,wireline,38474.0,01-11-2010,AIRTEL
2019,1,Punjab,wireless,115325303.0,01-01-2019,BSNL
2013,10,Delhi,wireless,5263586.0,01-10-2013,VODAFONE IDEA
2022,6,Madhya Pradesh,wireline,23405.0,01-06-2022,VODAFONE IDEA
2022,1,Himachal Pradesh,wireline,0.0,01-01-2022,RELIANCE COMMUNICATIONS
2015,3,Mumbai,wireless,2850999.0,01-03-2015,VIDEOCON
2017,11,Gujarat,wireline,70225.0,01-11-2017,RELIANCE COMMUNICATIONS
2017,9,Jammu And Kashmir,wireless,72501.0,01-09-2017,SISTEMA / MTS
2009,10,Rajasthan,wireless,4104869.0,01-10-2009,RELIANCE COMMUNICATIONS
2018,2,Odisha,wireless,12197449.0,01-02-2018,AIRTEL
2011,2,Karnataka,wireless,7511002.0,01-02-2011,RELIANCE COMMUNICATIONS
2009,1,Kolkata,wireless,1466876.0,01-01-2009,TATA TELE
2010,8,West Bengal,wireless,5492161.0,01-08-2010,RELIANCE COMMUNICATIONS
2022,8,Kolkata,wireline,47086.0,01-08-2022,TATA TELE
2009,8,Odisha,wireless,145416.0,01-08-2009,SISTEMA / MTS
2010,7,North East 1,wireless,542322.0,01-07-2010,RELIANCE COMMUNICATIONS
2010,9,West Bengal,wireless,2324315.0,01-09-2010,TATA TELE
2016,8,Punjab,wireless,8115745.0,01-08-2016,AIRTEL
2016,6,Andhra Pradesh,wireline,1266334.0,01-06-2016,BSNL
2021,7,Madhya Pradesh,wireless,36694297.0,01-07-2021,JIO
2022,4,Tamil Nadu,wireless,9790342.0,01-04-2022,BSNL
2009,3,Arunachal Pradesh,wireless,68768998.0,01-03-2009,VODAFONE IDEA
2011,2,West Bengal,wireline,2163.0,01-02-2011,RELIANCE COMMUNICATIONS
2011,2,Andhra Pradesh,wireline,85930.0,01-02-2011,RELIANCE COMMUNICATIONS
2020,9,Mumbai,wireless,1651.0,01-09-2020,RELIANCE COMMUNICATIONS
2021,9,West Bengal,wireline,0.0,01-09-2021,AIRTEL
2012,12,Rajasthan,wireline,49692.0,01-12-2012,SISTEMA / MTS
2016,9,Karnataka,wireline,154215.0,01-09-2016,RELIANCE COMMUNICATIONS
2011,6,ALL INDIA,wireless,3150308.0,01-06-2011,LOOP TELECOM
2013,11,Andhra Pradesh,wireless,6507360.0,01-11-2013,TATA TELE
2015,1,ALL INDIA,wireless,2592524.0,01-01-2015,HFCL / QUADRANT
2011,7,Bihar,wireless,4777248.0,01-07-2011,AIRCEL
2021,4,Madhya Pradesh,wireless,6210167.0,01-04-2021,BSNL
2015,9,Andhra Pradesh,wireline,163048.0,01-09-2015,TATA TELE
2011,11,Karnataka,wireline,1993814.0,01-11-2011,BSNL
2015,10,ALL INDIA,wireline,15525562.0,01-10-2015,BSNL
2021,1,Uttar Pradesh (East),wireline,77908.0,01-01-2021,AIRTEL
2019,9,Kolkata,wireline,11470.0,01-09-2019,VODAFONE IDEA
2017,11,Tamil Nadu,wireline,554402.0,01-11-2017,AIRTEL
2012,3,West Bengal,wireless,11712242.0,01-03-2012,VODAFONE IDEA
2025,1,North East 1,wireless,4254085.0,01-01-2025,JIO
2009,1,Punjab,wireless,385568.0,01-01-2009,HFCL / QUADRANT
2016,7,Andhra Pradesh,wireless,4549564.0,01-07-2016,TATA TELE
2018,6,Assam,wireless,2298077.0,01-06-2018,BSNL
2010,9,Jammu And Kashmir,wireless,318068.0,01-09-2010,RELIANCE COMMUNICATIONS
2009,7,Maharashtra,wireline,56183.0,01-07-2009,AIRTEL
2018,8,Tamil Nadu,wireless,1774930.0,01-08-2018,TATA TELE
2016,5,Himachal Pradesh,wireless,2318569.0,01-05-2016,MTNL
2022,9,Odisha,wireline,4.0,01-09-2022,RELIANCE COMMUNICATIONS
2025,3,North East 1,wireline,0.0,01-03-2025,AIRTEL
2009,2,ALL INDIA,wireless,49241997.0,01-02-2009,BSNL
2022,4,Gujarat,wireline,2586.0,01-04-2022,RELIANCE COMMUNICATIONS
2025,4,Tamil Nadu,wireline,0.0,01-04-2025,OTHERS
2016,5,Delhi,wireless,2318569.0,01-05-2016,MTNL
2010,2,Kerala,wireline,9436.0,01-02-2010,TATA TELE
2016,12,Kolkata,wireless,856129.0,01-12-2016,BSNL
2009,6,Gujarat,wireless,8606777.0,01-06-2009,VODAFONE IDEA
2015,4,Assam,wireless,46784614.0,01-04-2015,SISTEMA / MTS
2012,5,Punjab,wireless,5596731.0,01-05-2012,VODAFONE IDEA
2019,2,Karnataka,wireless,2215617.0,01-02-2019,MTNL
2021,5,Madhya Pradesh,wireless,15261811.0,01-05-2021,AIRTEL
2025,1,Odisha,wireline,4.0,01-01-2025,RELIANCE COMMUNICATIONS
2013,6,North East 1,wireless,0.0,01-06-2013,TATA TELE
2011,9,Punjab,wireline,1162971.0,01-09-2011,BSNL
2012,12,Kolkata,wireless,4152963.0,01-12-2012,RELIANCE COMMUNICATIONS
2016,4,Karnataka,wireless,7241390.0,01-04-2016,TATA TELE
2016,9,Madhya Pradesh,wireless,478321.0,01-09-2016,SISTEMA / MTS
2017,4,Andhra Pradesh,wireless,49344153.0,01-04-2017,SISTEMA / MTS
2015,7,Bihar,wireline,6292.0,01-07-2015,RELIANCE COMMUNICATIONS
2016,6,Uttar Pradesh (East),wireline,387814.0,01-06-2016,BSNL
2019,1,Kolkata,wireline,40049.0,01-01-2019,RELIANCE COMMUNICATIONS
2021,1,Punjab,wireline,86630.0,01-01-2021,JIO
2020,1,Kerala,wireline,19643.0,01-01-2020,TATA TELE
2013,1,Madhya Pradesh,wireless,11585308.0,01-01-2013,RELIANCE COMMUNICATIONS
2025,1,Mumbai,wireline,0.0,01-01-2025,OTHERS
2016,12,North East 1,wireless,4102960.0,01-12-2016,AIRTEL
2024,4,Kerala,wireline,0.0,01-04-2024,HFCL / QUADRANT
2021,7,Himachal Pradesh,wireline,0.0,01-07-2021,RELIANCE COMMUNICATIONS
2023,10,Kolkata,wireless,5685327.0,01-10-2023,AIRTEL
2013,2,Bihar,wireless,5937547.0,01-02-2013,BSNL
2020,6,Gujarat,wireless,25892692.0,01-06-2020,VODAFONE IDEA
2025,2,Mumbai,wireline,635460.0,01-02-2025,TATA TELE
2025,4,Gujarat,wireless,788984.0,01-04-2025,MTNL
2009,1,Arunachal Pradesh,wireless,5059634.0,01-01-2009,RELIANCE COMMUNICATIONS
2009,1,Karnataka,wireless,1343752.0,01-01-2009,TATA TELE
2013,1,West Bengal,wireless,1948996.0,01-01-2013,SISTEMA / MTS
2024,3,Haryana,wireline,41069.0,01-03-2024,TATA TELE
2024,11,Mumbai,wireline,631549.0,01-11-2024,TATA TELE
2019,9,Mumbai,wireless,7114912.0,01-09-2019,BSNL
2014,6,Andhra Pradesh,wireless,6268583.0,01-06-2014,VODAFONE IDEA
2016,5,Uttar Pradesh (East),wireless,3973399.0,01-05-2016,TATA TELE
2011,6,Rajasthan,wireless,7395575.0,01-06-2011,RELIANCE COMMUNICATIONS
2025,4,Himachal Pradesh,wireline,0.0,01-04-2025,MTNL
2012,9,Himachal Pradesh,wireless,0.0,01-09-2012,OTHERS
2015,4,Kerala,wireless,1621081.0,01-04-2015,TATA TELE
2013,10,Tamil Nadu,wireless,9569939.0,01-10-2013,BSNL
2024,5,Madhya Pradesh,wireline,5.0,01-05-2024,RELIANCE COMMUNICATIONS
2012,10,Assam,wireless,771.0,01-10-2012,TELENOR
2022,12,Bihar,wireless,39726581.0,01-12-2022,AIRTEL
2020,5,North East 1,wireless,119961592.0,01-05-2020,BSNL
2017,9,Punjab,wireless,4995631.0,01-09-2017,BSNL
2019,2,ALL INDIA,wireless,17009995.0,01-02-2019,TATA TELE
2015,8,Tamil Nadu,wireless,22159588.0,01-08-2015,AIRCEL
2017,10,Jammu And Kashmir,wireless,1700994.0,01-10-2017,JIO
2021,3,ALL INDIA,wireless,98835.0,01-03-2021,BSNL
2014,7,North East 1,wireless,672318.0,01-07-2014,SISTEMA / MTS
2009,1,Uttar Pradesh (East),wireless,7444964.0,01-01-2009,AIRCEL
2019,9,Gujarat,wireline,122230.0,01-09-2019,JIO
2018,9,Maharashtra,wireless,2233956.0,01-09-2018,MTNL
2016,5,Punjab,wireless,1263178.0,01-05-2016,MTNL
2013,8,Uttar Pradesh (East),wireless,0.0,01-08-2013,LOOP TELECOM
2023,4,Himachal Pradesh,wireline,4818.0,01-04-2023,AIRTEL
2009,9,Chennai,wireline,294720.0,01-09-2009,AIRTEL
2014,10,Andhra Pradesh,wireless,10003288.0,01-10-2014,BSNL
2011,6,Kolkata,wireless,0.0,01-06-2011,OTHERS
2020,6,Rajasthan,wireless,1175694.0,01-06-2020,MTNL
2021,11,Gujarat,wireless,2154158.0,01-11-2021,MTNL
2022,5,Punjab,wireless,115.0,01-05-2022,RELIANCE COMMUNICATIONS
2009,5,West Bengal,wireless,2000792.0,01-05-2009,BSNL
2022,2,Mumbai,wireline,106311.0,01-02-2022,VODAFONE IDEA
2021,6,Odisha,wireless,115350195.0,01-06-2021,BSNL
2023,8,Mumbai,wireless,95839571.0,01-08-2023,BSNL
2016,12,Uttar Pradesh (East),wireless,1298346.0,01-12-2016,MTNL
2011,1,Haryana,wireless,2847079.0,01-01-2011,VODAFONE IDEA
2014,2,Himachal Pradesh,wireless,127257.0,01-02-2014,TATA TELE
2021,2,Rajasthan,wireless,25377992.0,01-02-2021,JIO
2017,8,Kolkata,wireline,585303.0,01-08-2017,BSNL
2013,8,Odisha,wireless,0.0,01-08-2013,HFCL / QUADRANT
